customer_id,date,revenue_euro,sales
70736,2024-04-11,9497.51,67
70736,2024-04-12,4479.12,29
70736,2024-04-13,1006.38,56
70736,2024-04-14,1761.35,53
70736,2024-04-15,7559.19,79
70736,2024-04-16,7501.26,78
70736,2024-04-17,2162.55,11
70736,2024-04-18,5410.73,74
70736,2024-04-19,4044.79,50
70736,2024-04-20,5514.33,16
70736,2024-04-21,3121.4,20
70736,2024-04-22,5349.01,39
70736,2024-04-23,480.85,64
70736,2024-04-24,7319.82,91
70736,2024-04-25,4491.46,18
70736,2024-04-26,1277.3,9
70736,2024-04-27,293.5,88
70736,2024-04-28,6888.65,58
70736,2024-04-29,8225.88,4
70736,2024-04-30,8490.74,2
70736,2024-05-01,8681.73,87
70736,2024-05-02,6022.71,88
70736,2024-05-03,8489.2,86
70736,2024-05-04,7299.37,93
70736,2024-05-05,8232.73,90
70736,2024-05-06,6132.3,67
70736,2024-05-07,7459.57,17
70736,2024-05-08,843.38,4
70736,2024-05-09,8806.15,51
70736,2024-05-10,1869.93,27
70736,2024-05-11,1124.46,54
70736,2024-05-12,5835.71,95
70736,2024-05-13,2785.16,14
70736,2024-05-14,9916.84,57
70736,2024-05-15,4856.57,41
70736,2024-05-16,3121.44,86
70736,2024-05-17,7463.99,86
70736,2024-05-18,578.17,10
70736,2024-05-19,1597.04,28
70736,2024-05-20,4969.74,38
70736,2024-05-21,2600.18,95
70736,2024-05-22,5612.15,38
70736,2024-05-23,6115.05,48
70736,2024-05-24,9105.2,100
70736,2024-05-25,6965.76,54
70736,2024-05-26,6846.3,47
70736,2024-05-27,4734.26,61
70736,2024-05-28,2004.4,4
70736,2024-05-29,9338.46,98
70736,2024-05-30,9344.26,66
70736,2024-05-31,8999.82,4
70736,2024-06-01,8249.02,66
70736,2024-06-02,9890.72,49
70736,2024-06-03,4878.26,31
70736,2024-06-04,6403.02,21
70736,2024-06-05,9468.79,37
70736,2024-06-06,6373.36,25
70736,2024-06-07,5627.97,20
70736,2024-06-08,305.47,10
70736,2024-06-09,5021.75,58
70736,2024-06-10,2205.07,32
70736,2024-06-11,8567.85,1
70736,2024-06-12,8385.11,96
70736,2024-06-13,8756.01,6
70736,2024-06-14,3978.2,59
